Agency Name,Program Name ,Additional Information (optional),agencyCode,ProgramCode,ProgramCodePODFormat
Department of Agriculture,Rural Business Loans,,5,005-001,005:001
Department of Agriculture,Rural Business Grants,,5,005-002,005:002
Department of Agriculture,Energy Assistance Loan Guarantees and Payments,,5,005-003,005:003
Department of Agriculture,Distance Learning Telemedicine and Broadband,,5,005-004,005:004
Department of Agriculture,Rural Electrification and Telecommunication Loans,,5,005-005,005:005
Department of Agriculture,Rural Water and Waste Loans and Grants,,5,005-006,005:006
Department of Agriculture,Single Family Housing,,5,005-007,005:007
Department of Agriculture,Multi-Family Housing,,5,005-008,005:008
Department of Agriculture,Farm labor Housing,,5,005-009,005:009
Department of Agriculture,Rental Assistance,,5,005-010,005:010
Department of Agriculture,Community Facilities,,5,005-011,005:011
Department of Agriculture,Farm Loans,,5,005-012,005:012
Department of Agriculture,"Commodity Programs, Commodity Credit Corporation",,5,005-013,005:013
Department of Agriculture,"Conservation Programs, Commodity Credit Corporation",,5,005-014,005:014
Department of Agriculture,Grassroots Source Water Protection Program,,5,005-015,005:015
Department of Agriculture,Reforestation Pilot Program,,5,005-016,005:016
Department of Agriculture,State Mediation Grants,,5,005-017,005:017
Department of Agriculture,Dairy Indemnity Payment Program (DIPP),,5,005-018,005:018
Department of Agriculture,Emergency Conservation Program,,5,005-019,005:019
Department of Agriculture,Emergency Forest Restoration Program,,5,005-020,005:020
Department of Agriculture,Noninsured Crop Disaster Assistance Program (NAP),,5,005-021,005:021
Department of Agriculture,Federal Crop Insurance Corporation Fund,,5,005-022,005:022
Department of Agriculture,Public Law 480 Title I Direct Credit and Food for Progress Program Account,,5,005-023,005:023
Department of Agriculture,Food for Peace Title II Grants,,5,005-024,005:024
Department of Agriculture,McGovern-Dole International Food for Education and Child Nutrition Program,,5,005-025,005:025
Department of Agriculture,Market Development and Food Assistance,,5,005-026,005:026
Department of Agriculture,Conservation Operations,,5,005-027,005:027
Department of Agriculture,Conservation Easements,,5,005-028,005:028
Department of Agriculture,Environmental Quality Incentives Program,,5,005-029,005:029
Department of Agriculture,Capital Improvement and Maintenance,,5,005-030,005:030
Department of Agriculture,Forest and Rangeland Research,,5,005-031,005:031
Department of Agriculture,Forest Service Permanent Appropriations and Trust Funds,,5,005-032,005:032
Department of Agriculture,Land Acquisition,,5,005-033,005:033
Department of Agriculture,National Forest System,,5,005-034,005:034
Department of Agriculture,State and Private Forestry,,5,005-035,005:035
Department of Agriculture,Wildland Fire Management,,5,005-036,005:036
Department of Agriculture,Research and Education,,5,005-037,005:037
Department of Agriculture,Extension,,5,005-038,005:038
Department of Agriculture,Integrated Activities,,5,005-039,005:039
Department of Agriculture,National Research,,5,005-040,005:040
Department of Agriculture,"Economic Research, Market Outlook, and Policy Analysis",,5,005-041,005:041
Department of Agriculture,Agricultural Estimates,,5,005-042,005:042
Department of Agriculture,Census of Agriculture,,5,005-043,005:043
Department of Agriculture,Grain Regulatory Program,,5,005-044,005:044
Department of Agriculture,Packers and Stockyards Program,,5,005-045,005:045
Department of Agriculture,Inspection and Grading of Farm Products,,5,005-046,005:046
Department of Agriculture,Marketing Services,,5,005-047,005:047
Department of Agriculture,Payments to States and Possessions,,5,005-048,005:048
Department of Agriculture,Perishable Agricultural Commodities Act,,5,005-049,005:049
Department of Agriculture,Commodity Purchases,,5,005-050,005:050
Department of Agriculture,Safeguarding and Emergency Preparedness/Response,,5,005-051,005:051
Department of Agriculture,Safe Trade and International Technical Assistance,,5,005-052,005:052
Department of Agriculture,Animal Welfare,,5,005-053,005:053
Department of Agriculture,Child Nutrition Programs,,5,005-054,005:054
Department of Agriculture,Commodity Assistance Programs,,5,005-055,005:055
Department of Agriculture,Supplemental Nutrition Assistance Program,,5,005-056,005:056
Department of Agriculture,Center for Nutrition Policy and Promotion,,5,005-057,005:057
Department of Agriculture,Food Safety and Inspection,,5,005-058,005:058
Department of Agriculture,Management Activities,,5,005-059,005:059
Department of Commerce,Management and Policy Coordination,,6,006-001,006:001
Department of Commerce,Export Administration,,6,006-002,006:002
Department of Commerce,Export Enforcement,,6,006-003,006:003
Department of Commerce,Current Surveys and Statistics,,6,006-004,006:004
Department of Commerce,Survey of Program Dynamics (mandatory),,6,006-005,006:005
Department of Commerce,State Children’s Health Insurance Program (mandatory),,6,006-006,006:006
Department of Commerce,Economic Statistics Programs,,6,006-007,006:007
Department of Commerce,Demographic Statistics Program,,6,006-008,006:008
Department of Commerce,Demographic Surveys Sample Redesign,,6,006-009,006:009
Department of Commerce,Geographic Support,,6,006-010,006:010
Department of Commerce,Data Processing,,6,006-011,006:011
Department of Commerce,Census Working Capital Fund (Centralized Services),,6,006-012,006:012
Department of Commerce,Executive Direction,,6,006-013,006:013
Department of Commerce,Departmental Staff Services,,6,006-014,006:014
Department of Commerce,HCHB Renovation and Modernization,,6,006-015,006:015
Department of Commerce,Gifts and Bequests Trust Fund,,6,006-016,006:016
Department of Commerce,Franchise Fund,,6,006-017,006:017
Department of Commerce,Executive Direction (Centralized Services),,6,006-018,006:018
Department of Commerce,Departmental Staff Services (Centralized Services ),,6,006-019,006:019
Department of Commerce,Office of the Inspector General,,6,006-020,006:020
Department of Commerce,Bureau of Economic Analysis,,6,006-021,006:021
Department of Commerce,Policy Support,,6,006-022,006:022
Department of Commerce,Salaries and Expenses (S&E),,6,006-023,006:023
Department of Commerce,Partnership Planning Grants,,6,006-024,006:024
Department of Commerce,Technical Assistance Grants,,6,006-025,006:025
Department of Commerce,Public Works Grants,,6,006-026,006:026
Department of Commerce,Economic Adjustment Assistance Grants,,6,006-027,006:027
Department of Commerce,Research and Evaluation Grants,,6,006-028,006:028
Department of Commerce,Trade Adjustment Assistance,,6,006-029,006:029
Department of Commerce,Regional Export Challenge (New in FY 2014),,6,006-030,006:030
Department of Commerce,Investing in Manufacturing Communities Fund (New in FY 2014,,6,006-031,006:031
Department of Commerce,Disaster Recovery Assistance,,6,006-032,006:032
Department of Commerce,EDA Revolving Fund,,6,006-033,006:033
Department of Commerce,Operations and Administration (O&A),,6,006-034,006:034
Department of Commerce,Manufacturing and Services (Thru FY 2013),,6,006-035,006:035
Department of Commerce,Market Access and Compliance (Thru FY 2013),,6,006-036,006:036
Department of Commerce,Import Administration (Thru FY 2013),,6,006-037,006:037
Department of Commerce,U.S. and Foreign Commercial Service (Thru FY 2013,,6,006-038,006:038
Department of Commerce,Executive Direction and Administration,,6,006-039,006:039
Department of Commerce,Grants to Wool Manufacturers (mandatory),,6,006-040,006:040
Department of Commerce,Industry and Analysis (New in FY 2014),,6,006-041,006:041
Department of Commerce,Enforcement and Compliance (New in FY 2014),,6,006-042,006:042
Department of Commerce,Global Markets (New in FY 2014),,6,006-043,006:043
Department of Commerce,Minority Business Development,,6,006-044,006:044
Department of Commerce,Laboratory Programs,,6,006-045,006:045
Department of Commerce,Corporate Services,,6,006-046,006:046
Department of Commerce,Standards Coordination and Special Programs,,6,006-047,006:047
Department of Commerce,Technology Innovation Programs,,6,006-048,006:048
Department of Commerce,Hollings Manufacturing Extension Partnership,,6,006-049,006:049
Department of Commerce,Advanced Manufacturing Technology Consortia,,6,006-050,006:050
Department of Commerce,Construction and Major Renovations,,6,006-051,006:051
Department of Commerce,NIST Working Capital Fund (Centralized Services),,6,006-052,006:052
Department of Commerce,Wireless Innovation (WIN) Fund (mandatory),,6,006-053,006:053
Department of Commerce,National Network for Manufacturing Innovation (mandatory),,6,006-054,006:054
Department of Commerce,National Ocean Service,,6,006-055,006:055
Department of Commerce,National Marine Fisheries Service,,6,006-056,006:056
Department of Commerce,Oceanic and Atmospheric Research,,6,006-057,006:057
Department of Commerce,National Weather Service,,6,006-058,006:058
Department of Commerce,"National Environmental Satellite, Data and Information Service",,6,006-059,006:059
Department of Commerce,Program Support,,6,006-060,006:060
Department of Commerce,Information Clearinghouse Program,,6,006-061,006:061
Department of Commerce,Domestic and International Policy,,6,006-062,006:062
Department of Commerce,Spectrum Management,,6,006-063,006:063
Department of Commerce,Telecommunications Science Research,,6,006-064,006:064
Department of Commerce,Broadband Programs,,6,006-065,006:065
Department of Commerce,Wireless Broadband Access,,6,006-066,006:066
Department of Commerce,"Public Telecommunications Facilities, Planning and Construction",,6,006-067,006:067
Department of Commerce,Digital Television Transition and Public Safety Fund (mandatory),,6,006-068,006:068
Department of Commerce,Public Safety Broadband Corporation (mandatory),,6,006-069,006:069
Department of Commerce,Patents,,6,006-070,006:070
Department of Commerce,Trademarks,,6,006-071,006:071
Department of Defense,Bomber Forces,,7,007-001,007:001
Department of Defense,Intercontinental Ballistic Missiles (ICBMs),,7,007-002,007:002
Department of Defense,Strategic Land-Based missile (SLBM),,7,007-003,007:003
Department of Defense,Activities Supporting Bombers & ICBMs,,7,007-004,007:004
Department of Defense,Space Defense,,7,007-005,007:005
Department of Defense,Ballistic Missile Defense,,7,007-006,007:006
Department of Defense,Interceptors,,7,007-007,007:007
Department of Defense,North American Aerospace Defense Command (NORAD) and Space Command (SPACECOM) Support,,7,007-008,007:008
Department of Defense,Surveillance,,7,007-009,007:009
Department of Defense,Air Defense Initiative,,7,007-010,007:010
Department of Defense,Surveillance/Warning,,7,007-011,007:011
Department of Defense,Command Centers,,7,007-012,007:012
Department of Defense,Communications,,7,007-013,007:013
Department of Defense,Army Division Increment,,7,007-014,007:014
Department of Defense,Army Non-Divisional Combat Increment,,7,007-015,007:015
Department of Defense,Army Tactical Support Increment,,7,007-016,007:016
Department of Defense,Marine Ground Forces,,7,007-017,007:017
Department of Defense,Army Special Mission Forces,,7,007-018,007:018
Department of Defense,"Army Base Operations Support (BOS) and Mgmt., Headquarters (HQ)s",,7,007-019,007:019
Department of Defense,Army Operational Support,,7,007-020,007:020
Department of Defense,Army Research and Development Support (R&D),,7,007-021,007:021
Department of Defense,Army Systems Support,,7,007-022,007:022
Department of Defense,Marine Ground Forces Support,,7,007-023,007:023
Department of Defense,Air Force,,7,007-024,007:024
Department of Defense,Marine,,7,007-025,007:025
Department of Defense,Navy,,7,007-026,007:026
Department of Defense,Submarines,,7,007-027,007:027
Department of Defense,Surface Combatants,,7,007-028,007:028
Department of Defense,Amphibious Forces,,7,007-029,007:029
Department of Defense,Service Forces,,7,007-030,007:030
Department of Defense,Mine Warfare Forces,,7,007-031,007:031
Department of Defense,Maritime Patrol & Undersea Surveillance,,7,007-032,007:032
Department of Defense,Sea Based Anti-Submarine Warfare (ASW) Air Forces,,7,007-033,007:033
Department of Defense,Non-Strategic Nuclear Naval Forces,,7,007-034,007:034
Department of Defense,Fleet Support,,7,007-035,007:035
Department of Defense,Navy Systems Support,,7,007-036,007:036
Department of Defense,Navy R&D Support,,7,007-037,007:037
Department of Defense,"Navy BOS & Mgmt., HQs",,7,007-038,007:038
Department of Defense,Other Operational Support,,7,007-039,007:039
Department of Defense,Multimode & lntermodal Lift,,7,007-040,007:040
Department of Defense,Airlift Forces,,7,007-041,007:041
Department of Defense,Sealift Forces,,7,007-042,007:042
Department of Defense,Land Mobility Forces,,7,007-043,007:043
Department of Defense,SOF Operations,,7,007-044,007:044
Department of Defense,SOF Support Activities,,7,007-045,007:045
Department of Defense,General Purpose Support,,7,007-046,007:046
Department of Defense,Theater Missile Defense,,7,007-047,007:047
Department of Defense,Counterdrug Support,,7,007-048,007:048
Department of Defense,Defense-Wide Intelligence Program,,7,007-049,007:049
Department of Defense,Centrally Managed Communications,,7,007-050,007:050
Department of Defense,Satellite Communications,,7,007-051,007:051
